model,accuracy,precision,recall,f1,roc_auc,best_cv_roc_auc
logistic_regression,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9610389610389611,0.9113290091550962
random_forest,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.948051948051948,0.9006007679920722
