model,best_cv_roc_auc,accuracy,precision,recall,f1,roc_auc
logistic_regression,0.9113290091550962,0.8688524590163934,0.8125,0.9285714285714286,0.8666666666666667,0.9610389610389611
random_forest,0.8999183586140107,0.9016393442622951,0.84375,0.9642857142857143,0.9,0.9545454545454546
